step,day,field,title,unit,domain,n_columns,rmse,relative_rmse_percent,mean_abs_error,max_abs_error,max_index,max_lat,max_lon,max_torch,max_fortran,torch_swe_at_max,fortran_swe_at_max,torch_snow_fraction_at_max,fortran_snow_fraction_at_max
8,1.0,avg_skin_t,Surface temperature,K,all_columns,97709,7.0316550298611625e-06,2.6970999879665375e-06,5.783486184281331e-06,1.5258360576808627e-05,59829,39.04999923706055,80.35000610351562,260.5440216068738,260.5440368652344,0.0,0.0,0.0,0.0
8,1.0,soil_t_l1,"Soil temperature, layer 1",K,all_columns,97709,7.349179820000619e-06,2.802912522975036e-06,6.079070011269385e-06,1.5258570385867642e-05,82312,44.150001525878906,87.55000305175781,259.05564880349226,259.0556335449219,0.0,0.0,0.0,0.0
8,1.0,soil_t_l2,"Soil temperature, layer 2",K,all_columns,97709,7.566143003966713e-06,2.8765375544050884e-06,6.288425161938915e-06,1.5258518260452547e-05,17281,29.049999237060547,108.25,277.1367950442161,277.1368103027344,0.0,0.0,0.0,0.0
8,1.0,soil_t_l3,"Soil temperature, layer 3",K,all_columns,97709,7.5417368891968255e-06,2.8708884143209404e-06,6.27182204080457e-06,1.5258663722761412e-05,21895,30.25,97.6500015258789,257.6414947511019,257.6415100097656,0.37293501773551657,0.372935026884079,0.03729350177355166,0.0372935026884079
8,1.0,soil_t_l4,"Soil temperature, layer 4",K,all_columns,97709,7.2998995547792585e-06,2.782053620016953e-06,6.006964337807629e-06,1.5258613530022558e-05,115,18.950000762939453,108.85000610351562,285.00288391130834,285.0028991699219,0.0,0.0,0.0,0.0
8,1.0,soil_w_l1,"Soil water, layer 1",kg m-2,all_columns,97709,5.501396118935371e-07,1.903131326796349e-06,4.763122977762862e-07,9.536708382995585e-07,94372,49.04999923706055,125.25,29.99838352203717,29.998384475708008,0.6867162900398616,0.6867163181304932,0.06373777759656861,0.06373777954100784
8,1.0,soil_w_l2,"Soil water, layer 2",kg m-2,all_columns,97709,2.197053991105361e-06,2.7496775994715063e-06,1.8976951542048535e-06,3.8146794878457513e-06,96539,51.349998474121094,125.95000457763672,79.99991226198067,79.99991607666016,0.037131052967531344,0.03713105246424675,0.003713105296753134,0.003713105246424675
8,1.0,soil_w_l3,"Soil water, layer 3",kg m-2,all_columns,97709,4.39091498494536e-06,2.4261355445436746e-06,3.7920157647211095e-06,7.629357668292869e-06,3370,23.549999237060547,120.65000915527344,183.65555572513452,183.6555633544922,0.0,0.0,0.0,0.0
8,1.0,soil_w_l4,"Soil water, layer 4",kg m-2,all_columns,97709,8.760556707089735e-06,2.9200333394430142e-06,7.593852496995048e-06,1.5258781218108197e-05,18593,29.450000762939453,85.25,299.99995422364066,299.9999694824219,0.0,0.0,0.0,0.0
8,1.0,snow_w,Snow water equivalent,kg m-2,all_columns,97709,9.599557068812796e-09,2.131192460516409e-06,1.1099299873501954e-09,1.0575462212614184e-06,15282,28.549999237060547,95.45000457763672,40.05295668498763,40.052955627441406,40.05295668498763,40.052955627441406,1.0,1.0
8,1.0,snow_w,Snow water equivalent,kg m-2,snow_present,18763,2.1906214698654033e-08,2.131192460516409e-06,5.780000486809159e-09,1.0575462212614184e-06,15282,28.549999237060547,95.45000457763672,40.05295668498763,40.052955627441406,40.05295668498763,40.052955627441406,1.0,1.0
8,1.0,snow_w,Snow water equivalent,kg m-2,snow_fraction_gt_1e-3,18165,2.226385685947408e-08,2.1311918901634355e-06,5.9662839913471405e-09,1.0575462212614184e-06,15282,28.549999237060547,95.45000457763672,40.05295668498763,40.052955627441406,40.05295668498763,40.052955627441406,1.0,1.0
8,1.0,snow_t,Snow temperature,K,all_columns,97709,3.8591810890594996e-06,1.4460619051205724e-06,3.71901460042241e-06,1.5186438247383194e-05,26847,31.450000762939453,87.55000305175781,262.3857878915164,262.3857727050781,0.07081980657475796,0.07081981003284454,0.005386303633770678,0.005386303768706139
8,1.0,snow_t,Snow temperature,K,snow_present,18763,4.596719575674035e-06,1.926333859544266e-06,3.958445496373177e-06,1.5186438247383194e-05,26847,31.450000762939453,87.55000305175781,262.3857878915164,262.3857727050781,0.07081980657475796,0.07081981003284454,0.005386303633770678,0.005386303768706139
